catalognumber,collectorfamilyname,collectorinitials,associatedcollectors,year,month,day,verbatimeventdate,scientificname,scientificnameauthorship,identificationqualifier,family,identifiedby,dateidentified,country,stateprovince,county,locality,latdeg,lngdeg,elevationnumber,elevationunits,verbatimelevation,verbatimcoordinates,georeferencedby,georeferencesources,host,occurrenceremarks,lifestage,sex,individualcount,samplingprotocol,preparations,typestatus,ownerinstitutioncode,basisofrecord,language
UMSP000333397,Keene,P.L,,1923,6,23,June 23 1923,Agrilus anxius,Say,,buprestidae,J.N. Knull,1928,USA,Minnesota,,Owatonna,,,,,,,,,,birch borer,adult,,,,pinned,,UMSP,,English
UMSP000333398,,,,,,,,Agrilus anxius,Gory,,buprestidae,J.N. Knull,1922,USA,Minnesota,,Duluth,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000333399,,,,,,,,Agrilus anxius,Gory,,buprestidae,J.N. Knull,1922,USA,Minnesota,,Duluth,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000333400,,,,,,,,Agrilus anxius,Gory,,buprestidae,J.N. Knull,1922,USA,Minnesota,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000333401,Keene,P.L,,1923,6,23,June 23 1923,Agrilus anxius,Say,,buprestidae,J.N. Knull,1928,USA,Minnesota,,Owatonna,,,,,,,,,,birch borer,adult,,,,pinned,,UMSP,,English
UMSP000333402,Keene,P.L,,1923,6,23,June 23 1923,Agrilus anxius,Say,,buprestidae,J.N. Knull,1928,USA,Minnesota,,Owatonna,,,,,,,,,,birch borer,adult,,,,pinned,,UMSP,,English
UMSP000333403,,,,,,,,Agrilus anxius,Gory,,buprestidae,J.N. Knull,1922,USA,Minnesota,,Duluth,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000333404,,,,,,,,Agrilus anxius,Gory,,buprestidae,J.N. Knull,1922,USA,Minnesota,,Duluth,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000333405,Keene,P.L.,,1923,6,23,June 23 1923,Agrilus anxius,Say,,buprestidae,J.N. Knull,1928,USA,Minnesota,,Owatonna,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000333406,Ainslie,C.N.,,,,,,Agrilus anxius,Gory,,buprestidae,J.N. Knull,1938,USA,Minnesota,Olmsted,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000333407,Knight,H.H.,,1922,6,30,June 30 1922,Agrilus anxius,Say,,buprestidae,J.N. Knull,1928,USA,Minnesota,Winona,Kings Bluff,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000333408,Keene,P.L.,,1923,6,23,"June 23, 1923",Agrilus anxius,Say,,buprestidae,J.N. Knull,1928,USA,Minnesota,,Owatonna,,,,,,,,,,birch borer,adult,,,,pinned,,UMSP,,English
UMSP000333409,Keene,P.L.,,1923,6,23,"June 23, 1923",Agrilus anxius,Say,,buprestidae,J.N. Knull,1928,USA,Minnesota,,Owatonna,,,,,,,,,,birch borer,adult,,,,pinned,,UMSP,,English
UMSP000333359,Keene,P.L.,,1922,6,23,"June 23, 1923",Agrilus anxius,Say,,buprestidae,J.N. Knull,1928,USA,Minnesota,,Owatonna,,,,,,,,,,birch borer,adult,,,,pinned,,UMSP,,English
UMSP000333360,Keene,P.L.,,1922,6,23,"June 23, 1923",Agrilus anxius,Say,,buprestidae,J.N. Knull,1928,USA,Minnesota,,Owatonna,,,,,,,,,,birch borer,adult,,,,pinned,,UMSP,,English
UMSP000333361,Keene,P.L.,,1922,6,23,"June 24, 1923",Agrilus anxius,Say,,buprestidae,J.N. Knull,1928,USA,Minnesota,,Owatonna,,,,,,,,,,birch borer,adult,,,,pinned,,UMSP,,English
UMSP000333362,Keene,P.L.,,1922,6,23,"June 25, 1923",Agrilus anxius,Say,,buprestidae,J.N. Knull,1928,USA,Minnesota,,Owatonna,,,,,,,,,,birch borer,adult,,,,pinned,,UMSP,,English
UMSP000333363,Ainslie,C.N.,,,,,,Agrilus anxius,Gory,,buprestidae,J.N. Knull,1938,USA,Minnesota,Olmsted,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000333364,,,,,,,,Agrilus anxius,Gory,,buprestidae,J.N. Knull,1922,USA,Minnesota,Otter Tail,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142921,,,,1924,6,14,VI-14 1924,Acmaeodera acuta,LeConte,,Buprestidae,C. A. Frost,,USA,California,Los Angeles,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142922,Knull,D.J.,J.N. Knull,1937,6,16,VI-16-37,Acmaeoderopsis junki,Thery,,Buprestidae,Knull,1938,USA,Arizona,Wickenburg,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142923,Parker,F.H.,,1938,9,2,"Sept. 2, 1938",Acmaeoderopsis junki,Thery,,Buprestidae,F.H. Parker,1940,USA,Arizona ,San Carlos,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142924,Knull,D.J.,J.N. Knull,1937,6,16,VI-16-37,Acmaeoderopsis junki,Thery,,Buprestidae,J.N. Knull,,USA,Arizona,Wickenburg,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142925,Knull,D.J.,J.N. Knull,1937,6,16,VI-16-37,Acmaeoderopsis junki,Thery,,Buprestidae,J.N. Knull,,USA,Arizona,Wickenburg,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142926,Knull,D.J.,J.N. Knull,1937,6,16,VI-16-37,Acmaeoderopsis junki,Thery,,Buprestidae,J.N. Knull,,USA,Arizona,Wickenburg,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142927,Lugger,O.,,,,,,Acmaeodera acuta,LeConte,,Buprestidae,J.N. Knull,1922,USA,California,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142928,Lugger,O.,,,,,,Acmaeodera acuta,LeConte,,Buprestidae,J.N. Knull,1922,USA,California,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142929,,,,,,,,Acmaeodera acuta,LeConte,,Buprestidae,J.N. Knull,1922,USA,California,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142930,Stevenson,R.H.R,,1928,8,1,8.1.1928,Agelia lordi,Walker,,Buprestidae,,,Zimbabwe,,,S Rhodesia,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142931,Junod,H.,Rikolls,,,,,Agelia peteli,Gory,,Buprestidae,,,Probably South Africa,,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142932,Manley,G.V.,,1974,4,14,14 April 1974,Agrilus abductus,Horn,,Buprestidae,G. Manley,,USA,Texas,Burleson,Somerville lake,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142933,Manley,G.V.,,1974,4,13,13 April 1974,Agrilus abductus,Horn,,Buprestidae,G. Manley,,USA,Texas,Burleson,Somerville lake,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142934,Knull,D.J.,J.N. Knull,1937,8,8,VIII-8-37,Agrilus acaciae,Fisher,,Buprestidae,Knull,1938,USA,Texas,Brownsville,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142935,Ainslie,C.N.,,,,,,Agrilus acutipennis,Mannerheim,,Buprestidae,J.N. Knull,,USA,Minnesota,Olmsted,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142936,Ainslie,C.N.,,,,,7.x,Agrilus acutipennis,Mannerheim,,Buprestidae,Knull,1938,USA,Minnesota,Olmsted,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142937,,,,,,,,Agrilus acutipennis,Mannerheim,,Buprestidae,J.N. Knull,1922,USA,Missouri,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142938,,,,,,,,Agrilus acutipennis,Mannerheim,,Buprestidae,J.N. Knull,1922,USA,Minnesota,Otter Tail,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142939,,,,,,,,Agrilus acutipennis,Mannerheim,,Buprestidae,J.N. Knull,1922,USA,Kansas,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142940,Wiley,G.O.,,1922,4,21,April 21 1922,Agrilus acutipennis,Mannerheim,,Buprestidae,J.N. Knull,,USA,Texas,Colorado,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142941,Frost,C.A.,,,8,12,VI/line break/8-12 ,Agrilus acutipennis,Mannerheim,,Buprestidae,C.A. Frost,,USA,Massachusetts,,"Sherborn, sweeping corylus",,,,,,,,,,,adult,,,Sweeping corylus,pinned,,UMSP,,English
UMSP000142942,Denning,D.G.,,1938,7,26,July 26 1938,Agrilus acutipennis,Mannerheim,,Buprestidae,Knull,1942,USA,Minnesota,Morrison ,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142943,Milliron,H.E.,,1938,6,14,June 14 1938,Agrilus acutipennis,Mannerheim,,Buprestidae,Knull,1943,USA,Minnesota,,Itsaca Park,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142944,Hodson,A.C.,,1936,6,18,June 18 1936,Agrilus acutipennis,Mannerheim,,Buprestidae,Knull,1943,USA,Minnesota,,Itsaca Park,,,,,,,,,,on hazel,adult,,,,pinned,,UMSP,,English
UMSP000142945,Oestlund,O.W.,,1968,7,26,7/26   68,Agrilus acutipennis,Mannerheim,,Buprestidae,J.N. Knull,,USA,Minnesota,Cass,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142946,,,,,,,,Agrilus acutipennis,Mannerheim,,Buprestidae,J.N. Knull,1922,USA,Virginia,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142947,Ainslie,C.N.,,,6,,June,Agrilus acutipennis,Mannerheim,,Buprestidae,J.N. Knull,,USA,Minnesota,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142948,Dawson,H.W.,,1930,7,1,July 1 1930,Agrilus acutipennis,Mannerheim,,Buprestidae,J.N. Knull,,USA,Minnesota,,Itsaca Park,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142949,Oestlund,O.W.,,,,,,Agrilus acutipennis,Mannerheim,,Buprestidae,J.N. Knull,,USA,Illinois,,Moline,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142950,,,,,,,,Agrilus acutipennis,Mannerheim,,Buprestidae,J.N. Knull,1922,USA,Texas,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142951,,,,,,,,Agrilus acutipennis,Mannerheim,,Buprestidae,J.N. Knull,1922,USA,Missouri,,Minn. Univ. Lot Sub,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142952,,,,,,,,Agrilus acutipennis,Mannerheim,,Buprestidae,J.N. Knull,1922,USA,Maryland,,Minn. Univ. Lot Sub,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142953,,,,,,,,Agrilus addendus,Crotch,,Buprestidae,J.N. Knull,1922,USA,Texas,,Minn. Univ. Lot Sub,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142954,,,,1936,7,27,VII-27-36,Acmaeodera alicia,Fall,,Buprestidae,J.N. Knull,,USA,Arizona,Tucson,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142955,,,,1936,8,13,VIII-13-36,Acmaeodera alicia,Fall,,Buprestidae,J.N. Knull,,USA,Arizona,Tucson,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142956,Lugger,O.,,,,,,Acmaeodera amplicollis,LeConte,,Buprestidae,J.N. Knull,1922,USA,Arizona,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142957,Lugger,O.,,,,,,Acmaeodera amplicollis,LeConte,,Buprestidae,J.N. Knull,1922,USA,Arizona,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142958,Lugger,O.,,,,,,Acmaeodera amplicollis,LeConte,,Buprestidae,J.N. Knull,1922,USA,Arizona,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142959,Lugger,O.,,,,,,Acmaeodera amplicollis,LeConte,,Buprestidae,J.N. Knull,1922,USA,Arizona,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142960,Culver,,"Cheary, Smith, Wargo",1969,9,12,IX-12-69,Acmaeodera amplicollis,LeConte,,Buprestidae,G. Manley,,USA,Arizona,Gila,6mi. North Payson,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000142961,,,,,,,,Acmaeodera amplicollis,LeConte,,Buprestidae,,,,,,,28º51.9ºN,,,,,,,,,,,,,,,,,,
UMSP000142962,,,,,,,,,,,Buprestidae,,,,,,,,,,,,,,,,,,,,,,,,,
