catalognumber,collectorfamilyname,collectorinitials,associatedcollectors,year,month,day,verbatimeventdate,scientificname,scientificnameauthorship,identificationqualifier,family,identifiedby,dateidentified,country,stateprovince,county,locality,latdeg,lngdeg,elevationnumber,host,occurrenceremarks,samplingprotocol,,,,,,,,
UMSP000142974,Lugger,O. ,,,,,,Actenodes acornis,Say,,Buprestidae,J.N. Knull,1922,USA,New Jersey,,,,,,,,,,,,,,,,
UMSP000333950,Hertig,A.T.,,1922,6,30,"June 30, 1922",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1922,USA,Minnesota,Ramsey,New Brighton,,,,,,,,,,,,,,
UMSP000142976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMSP000142977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMSP000142978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMSP000142979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMSP000142980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMSP000142981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMSP000142982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMSP000142983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMSP000333385,Anderson,R.,,1939,7,8,"July 8, 1939",Anthaxia aenecogaster,Laporte & Gory,Cast.,buprestidae,J.N. Knull,1942,USA,California,Modoc,,,,,,,,,,,,,,,
UMSP000333384,Anderson,R.,,1939,7,8,"July 8, 1939",Anthaxia aenecogaster,Laporte & Gory,Cast.,buprestidae,J.N. Knull,1942,USA,California,Modoc,,,,,,,,,,,,,,,
UMSP000333383,Telford,H.S.,,1939,7,14,"July 14, 1939",Anthaxia aenecogaster,Laporte & Gory,Cast.,buprestidae,J.N. Knull,1942,USA,South Dakota,Pennington,,,,,,,,,,,,,,,
UMSP000333386,Telford,H.S.,,1939,7,14,"July 14, 1939",Anthaxia aenecogaster,Laporte & Gory,Cast.,buprestidae,J.N. Knull,1942,USA,South Dakota,Pennington,,,,,,,,,,,,,,,
UMSP000333382,Standish,J.,,1940,6,11,"June 11, 1940",Anthaxia aenecogaster,Laporte & Gory,Cast.,buprestidae,J.N. Knull,1942,USA,Washington,,Spokane,,,,,,,,,,,,,,
UMSP000333388,Telford,H.S.,,1939,7,14,"July 14, 1939",Anthaxia aenecogaster,Laporte & Gory,Cast.,buprestidae,J.N. Knull,1942,USA,South Dakota,Pennington,,,,,,,,,,,,,,,
UMSP000333951,Hertig,A.T.,,1922,6,30,"June 30, 1922",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1922,USA,Minnesota,Ramsey,New Brighton,,,,,,,,,,,,,,
UMSP000338773,Hertig,A.T.,,1922,6,30,"June 30, 1922",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1922,USA,Minnesota,Ramsey,New Brighton,,,,,,,,,,,,,,
UMSP000333390,Anderson,R.,,1939,7,8,"July 8, 1939",Anthaxia aenecogaster,Laporte & Gory,Cast.,buprestidae,J.N. Knull,1942,USA,California,Modoc,,,,,,,,,,,,,,,
UMSP000333822,Hertig,A.T.,,1923,6,30,"June 30, 1923",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1928,USA,Minnesota,Red Wing,Red Wing,,,,,,,,,,,,,,
UMSP000333389,Telford,H.S.,,1939,14,7,"July 14, 1939",Anthaxia aenecogaster,Laporte & Gory,Cast.,buprestidae,J.N. Knull,1942,USA ,South Dakota,Pennington,,,,,,,,,,,,,,,
UMSP000338750,Ordway,E.,,1976,6,30,VI - 30 - 76,Acmaeodera pulchella,Herbst,,buprestidae,,,USA,Minnesota,Stevens,"Coleman Prairie, 4mi. SE Morris",,,,,,,,,,,,,,
UMSP000333903,Knight,H.H.,,1922,6,30,"June 30, 1922",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1928,USA,Minnesota,Winona,Kings Bluff,,,,,,,,,,,,,,
UMSP000333904,Knight,H.H.,,1922,6,30,"June 30, 1922",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1928,USA,Minnesota,Winona,Kings Bluff,,,,,,,,,,,,,,
UMSP000333940,Hertig,A.T.,,1922,6,,"June (?)0, 1922",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1922,USA,Minnesota,Ramsey,New Brighton,,,,,,,,,,,,,,
UMSP000338756,,,,1976,7,1,1 July 76,Acmaeodera pulchella,Herbst,,buprestidae,,,USA,Minnesota,Anoka,Cedar Creek Natural History Area,,,,,,,,,,,,,,
UMSP000338694,Yenger,C.R.,,1934,7,1,"July 1-7, 1934",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1938,USA,Minnesota,Kanabec,Mora,,,,,,,,,,,,,,
UMSP000338695,Yenger,C.R.,,1934,7,1,"July 1-7, 1934",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1938,USA,Minnesota,Kanabec,Mora,,,,,,,,,,,,,,
UMSP000338714,Yenger,C.R.,,1934,7,1,"July 1-7, 1934",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1938,USA,Minnesota,Kanabec,Mora,,,,,,,,,,,,,,
UMSP000338774,Yenger,C.R.,,1924,7,1,"July 1-7, 1934",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1938,USA,Minnesota,Kanabec,Mora,,,,,,,,,,,,,,
UMSP000338696,Fletsch,D.J.,,1934,7,1,"July 1, 1934",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1938,USA,Minnesota,Mille Lacs,Milaca,,,,,,,,,,,,,,
UMSP000333927,Lewis,B.,,1922,7,1,"July 1, 1922",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1928,USA,Minnesota,Washington,Stillwater,,,,,,,,,,,,,,
