catalognumber,collectorfamilyname,collectorinitials,associatedcollectors,year,month,day,verbatimeventdate,scientificname,scientificnameauthorship,identificationqualifier,family,identifiedby,dateidentified,country,stateprovince,county,locality,latdeg,lngdeg,elevationnumber,host,occurrenceremarks,samplingprotocol,,,,,,,,
UMSP000357779,Ainslie,C.N.,,,,,,Buprestis consularis,Gory,var. consularis,buprestidae,Knull,1938,USA,Minnesota ,Olmsted,,,,,,,,,,,,,,,
UMSP000357794,Lugger ,O.,,,,,,Buprestis consularis,Gory,var. consularis,buprestidae,J.N. Knull,1922,USA,Minnesota,St. Louis,Duluth,,,,,,,,,,,,,,
UMSP000342610,Swanson,G. ,,1931,4,26,"April 26, 1931",Buprestis fasciata,Fabricius,,buprestidae,Knull,1943,USA ,Minnesota,Goodhue,Lake Pepin,,,,,,,,,,,,,,
UMSP000342612,Orr,L.W.,,1934,6,14,"June 14, 1934",Buprestis fasciata,Fabricius,,buprestidae,Knull,1938,USA,Minnesota,Clearwater,Itasca Park,,,,,From dying tree Larix americana,,,,,,,,,
UMSP000342641,,,,1913,6,15,6/15/13,Buprestis fasciata,Fabricius,,buprestidae,,,USA,Minnesota,Clearwater,Lake Itasca,,,,,,,,,,,,,,
UMSP000342636,Entomology Class,,,1937,6,21,June 21 1937,Buprestis fasciata,Fabricius,,buprestidae,J.N. Knull,1938,USA,Minnesota,Clearwater,Itasca Park,,,,,,,,,,,,,,
UMSP000342607,,,,1941,6,25,"June 25, 1941",Buprestis fasciata,Fabricius,,buprestidae,Knull,1928,USA,Minnesota,Clearwater,Lake Itasca,,,,,,,,,,,,,,
UMSP000342639,Nagel,R.H.,,1934,6,27,"June 27, 1934",Buprestis fasciata,Fabricius,,buprestidae,J.N. Knull,1938,USA,Minnesota,Cass ,Cass Lake,,,,J. pine,light,,,,,,,,,
UMSP000342621,Orr,L.W.,,1929,6,27,"June 27, 1929",Buprestis fasciata,Fabricius,,buprestidae,J.N. Knull,1938,USA,Minnesota,Cook,Poplar Lake,,,,,,,,,,,,,,
UMSP000342624,Daggy,R.H.,,1936,7,2,"July 2, 1936",Buprestis fasciata,Fabricius,,buprestidae,J.N. Knull,1938,USA,Minnesota,Cass,,,,,,,,,,,,,,,
UMSP000342634,Oestlund,O.W.,,1889,7,2,7/2 89,Buprestis fasciata,Fabricius,,buprestidae,J.N. Knull,1938,USA,Minnesota,Cass,,,,,,,,,,,,,,,
UMSP000342615,Entomology Lab,,,1927,7,4,"July 4, 1927",Buprestis fasciata,Fabricius,,buprestidae,J.N. Knull,1938,USA,Minnesota,Clearwater,Itasca Park,,,,,,,,,,,,,,
UMSP000342617,Entomology Lab,,,1927,7,4,"July 4, 1927",Buprestis fasciata,Fabricius,,buprestidae,J.N. Knull,1938,USA,Minnesota,Clearwater,Itasca Park,,,,,,,,,,,,,,
UMSP000342667,Gandhi,K.J.K.,,2001,7,6,VII.6-VIII.4.01,Buprestis fasciata,Fabricius,,buprestidae,K.J.K. Gandhi,2008,USA,Minnesota,Cook,"Superior National Forest, Hy. 12, nr. Cross River","48º5'2""","90º45'6""",,Pinus banksiana,,"Lindgren Funnel Trap, I. grandicollis bait, (-)-Ipsenol & (-)Alpha-pinene",,,,,,,,
UMSP000342640,,,,1914,7,8,7/8/1914,Buprestis fasciata,Fabricius,,buprestidae,,,USA,Minnesota,Itasca,,,,,,,,,,,,,,,
UMSP000342626,Orr,L.W.,,1930,7,9,"July 9, 1930",Buprestis fasciata,Fabricius,,buprestidae,J.N. Knull,1938,USA,Minnesota,Clearwater,Itasca Park,,,,,,,,,,,,,,
UMSP000342611,Nicholson,H.P.,,1941,7,13,"July 13, 1941",Buprestis fasciata,Fabricius,,buprestidae,Knull,1943,USA,Minnesota,Clearwater,Itasca Park,,,,,,,,,,,,,,
UMSP000342618,Reif,C.,,1935,7,15,"July 15, 1935",Buprestis fasciata,Fabricius,,buprestidae,J.N. Knull,1938,USA,Minnesota,Cass,Hackensack,,,,,,,,,,,,,,
UMSP000342644,Hodson,A.C.,,1935,7,15,July 15 1935,Buprestis fasciata,Fabricius,,buprestidae,,,USA,Minnesota,Clearwater,Itasca Park,,,,,,,,,,,,,,
UMSP000342613,Ebel,B.,,1952,7,15,"July 15, 1952",Buprestis fasciata,Fabricius,,buprestidae,R.L. Westcott,,USA,Minnesota,Lake,Basswood Lake,,,,,,,,,,,,,,
UMSP000359195,Wellso,S.G.,,1971,7,11,VII.11.1971,Chrysobothris dentipes,Germar,,buprestidae,S.G. Wellso,,USA,Michigan,Chippewa,Raco 10 mi W,,,,,,,,,,,,,,
UMSP000342614,Ebel,B.,,1952,7,15,"July 15, 1952",Buprestis fasciata,Fabricius,,buprestidae,R.L. Westcott,,USA,Minnesota,Lake,Basswood Lake,,,,,,,,,,,,,,
UMSP000359197,Wiley,G.O.,,1921,6,30,June 30 1921,Chrysobothris femorata,Olivier,Chrysobothris woodgatei C.E.K.,buprestidae,Knull,1938,USA,Colorado,El Paso,,,,,,,,,,,,,,,
UMSP000359198,Wiley,G.O.,,1922,5,31,May 31 1922,Chrysobothris femorata,Olivier,Chrysobothris lesueuri Cast.,buprestidae,Knull,1938,USA,Texas,Colorado,Rock Island,,,,,,,,,,,,,,
UMSP000359199,Wiley,G.O.,,1922,,,Summer 1922,Chrysobothris femorata,Olivier,Chrysobothris lesueuri Cast.,buprestidae,J.N. Knull,1928,USA,Texas,Colorado,,,,,,,,,,,,,,,
UMSP000359200,Lugger ,O.,,,,,,Chrysobothris femorata,Olivier,Chrysobothris lesueuri Cast.,buprestidae,J.N. Knull,1922,,,,Tex.,,,,,,,,,,,,,,
UMSP000359201,Wiley,G.O.,,1922,,,Summer 1922,Chrysobothris femorata,Olivier,Chrysobothris lesueuri Cast.,buprestidae,J.N. Knull,1928,USA,Texas ,Colorado,,,,,,,,,,,,,,,
UMSP000342631,Tinkham,E.H,,1932,7,16,"July 16, 1932",Buprestis fasciata,Fabricius,,buprestidae,J.N. Knull,1938,USA,Minnesota,Carlton,"Muskeg, 8 mi. So.",,,,,,,,,,,,,,
UMSP000342635,Oestlund,O.W.,,1889,7,16,7/16 89,Buprestis fasciata,Fabricius,,buprestidae,J.N. Knull,1938,USA,Minnesota,Cass,,,,,,,,,,,,,,,
UMSP000342651,,,,1913,7,16,7/16/13,Buprestis fasciata,Fabricius,,buprestidae,,,USA,Minnesota,Clearwater,Lake Itasca,,,,,,,,,,,,,,
UMSP000342633,Oestlund,O.W.,,1889,7,18,7/18 89,Buprestis fasciata,Fabricius,,buprestidae,J.N. Knull,1938,USA,Minnesota,Cass,,,,,,,,,,,,,,,
UMSP000342632,Oestlund,O.W.,,1889,7,21,7/21 89,Buprestis fasciata,Fabricius,,buprestidae,J.N. Knull,1938,USA,Minnesota,Cass,,,,,,,,,,,,,,,
UMSP000342627,Orr,L.W.,,1931,7,22,"July 22, 1931",Buprestis fasciata,Fabricius,,buprestidae,J.N. Knull,1938,USA,Minnesota,Clearwater,Itasca Park,,,,,,,,,,,,,,
UMSP000359208,Murray,D.,,1941,7,9,July 9 1941,Chrysobothris femorata,Olivier,,buprestidae,,,USA,Ohio,Franklin,Colombus,,,,,,,,,,,,,,
UMSP000342649,,,,1909,7,23,July 23 09,Buprestis fasciata,Fabricius,,buprestidae,,,USA,Minnesota,Itasca,,,,,,,,,,,,,,,
UMSP000359210,Ainslie,C.N.,,1937,,,J 10 1937,Chrysobothris femorata,Olivier,,buprestidae,,,USA,Iowa,Woodbury,Sioux City,,,,,,,,,,,,,,
UMSP000342623,McMichael,,,1932,7,25,"July 25, 1932",Buprestis fasciata,Fabricius,,buprestidae,J.N. Knull,1938,USA,Minnesota,Cook,Gunflint Lake,,,,,,,,,,,,,,
UMSP000359212,,,,1941,6,15,6/15/41,Chrysobothris femorata,Olivier,,buprestidae,,,USA,North Carolina,Alamance,Burlington,,,,,,,,,,,,,,
UMSP000342622,Orr,L.W.,,1928,7,25,"July 25, 1928",Buprestis fasciata,Fabricius,,buprestidae,J.N. Knull,1938,USA,Minnesota,Cook,,,,,,,,,,,,,,,
UMSP000359214,,,,1935,6,28,June 28 1935,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,Missouri,Pulaski,Palace CCC Camp F-3,,,,,,,,,,,,,,
UMSP000342630,Orr,L.W.,,1928,7,25,"July 25, 1928",Buprestis fasciata,Fabricius,,buprestidae,J.N. Knull,1938,USA,Minnesota,,,,,,,,,,,,,,,,
UMSP000342628,Hodson,A.C.,,1935,7,15-30,"July 15, 1935- July 30, 1935",Buprestis fasciata,Fabricius,,buprestidae,J.N. Knull,1938,USA,Minnesota,Clearwater,Itasca Park,,,,,,,,,,,,,,
UMSP000359217,Wiley,G.O.,,1922,8,5,August 5 1922,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,Texas ,Colorado,Rock Island,,,,,,,,,,,,,,
UMSP000342629,Hodson,A.C.,,1935,7,15-30,"July 15, 1935- July 30, 1935",Buprestis fasciata,Fabricius,,buprestidae,J.N. Knull,1938,USA,Minnesota,Clearwater,Itasca Park,,,,,,,,,,,,,,
UMSP000359219,Wiley,G.O.,,1920,8,31,August 31 1920,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,Texas ,Eastland,,,,,,,,,,,,,,,
UMSP000359220,Ainslie,C.N.,,1932,,,J 11 1932,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,Iowa,Woodbury,Sioux City,,,,,,,,,,,,,,
UMSP000359221,Lugger ,O.,,,,,,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,,,,,,,,,,,,,,,,,,
UMSP000342669,,J.J.,,1966,7,,July 1966,Buprestis fasciata,Fabricius,,buprestidae,,8-1-66,USA,Minnesota,St. Louis,Duluth,,,,,,,,,,,,,,
UMSP000359223,Ainslie,C.N.,,1933,,,J 20 1933,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,Iowa,Woodbury,Sioux City,,,,,,,,,,,,,,
UMSP000342609,Denning,D.G.,,1938,8,3,"August 3, 1938",Buprestis fasciata,Fabricius,,buprestidae,Knull,1943,USA,Minnesota,Itasca,Grand Rapids,,,,,,,,,,,,,,
UMSP000359225,Ainslie,C.N.,,1934,,,J 6 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,Iowa,Woodbury,Sioux City,,,,,,,,,,,,,,
UMSP000359226,Ainslie,C.N.,,1936,,,J 26 1932,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,Iowa,Woodbury,Sioux City,,,,,,,,,,,,,,
UMSP000359227,Ainslie,C.N.,,1936,,,J 26 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,Iowa,Woodbury,Sioux City,,,,,,,,,,,,,,
UMSP000359228,Ainslie,C.N.,,1936,,,J 26 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,Iowa,Woodbury,Sioux City,,,,,,,,,,,,,,
UMSP000342666,Gandhi,K.J.K.,,2000,8,26,26.8.00,Buprestis fasciata,Fabricius,,buprestidae,K.J.K. Gandhi,2004,USA,Minnesota,Cook,"Superior National Forest, Hy. 12, Seagull Ck., Savage","48º12'308""","90º85'591""",,,,,,,,,,,,
UMSP000342606,Perthel,R.M.,,1940,8,,Austust 1940,Buprestis fasciata,Fabricius,,buprestidae,Knull,1942,USA,Minnesota,St. Louis ,Basswood Lake,,,,,,,,,,,,,,
UMSP000359231,Oestlund,O.W.,,,,,,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,Illinois,Rock Island,Moline,,,,,,,,,,,,,,
UMSP000359232,Oestlund,O.W.,,,,,,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,Illinois,Rock Island,Moline,,,,,,,,,,,,,,
UMSP000359233,Douglas,W.R.,,1936,6,12,June 12 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,New Jersey,Somerset,Basking Ridge,,,,,,,,,,,,,,
UMSP000359234,Phillips,E.H.,,1936,6,12,June 12 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,New Jersey,Bergen,Radburn,,,,Elm,,,,,,,,,,
UMSP000359235,Phillips,E.H.,,1936,6,12,June 12 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,New Jersey,Bergen,Radburn,,,,Elm,,,,,,,,,,
UMSP000359236,Roach,F.,,1936,6,17,June 17 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,New Jersey,Essex,Millburn,,,,Elm,,,,,,,,,,
UMSP000359237,Roach,F.,,1936,6,16,June 16 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,New Jersey,Essex,Millburn,,,,Elm,,,,,,,,,,
UMSP000359238,Harmon,G.,,1936,6,16,June 16 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,New Jersey,Union,Westfield,,,,,,,,,,,,,,
UMSP000359239,Sleever,W.A.,,1936,6,12,June 12 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,New Jersey,Essex,West Caldwell,,,,,,,,,,,,,,
UMSP000359240,,,,1936,6,12,June 12 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,New Jersey,Essex,Bloomfield,,,,,,,,,,,,,,
UMSP000359241,,,,1936,6,12,June 12 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,New Jersey,Essex,Bloomfield,,,,,,,,,,,,,,
UMSP000359242,Oestlund,O.W.,,,,,,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,Illinois,Rock Island,Moline,,,,,,,,,,,,,,
UMSP000359243,,,,1936,6,16,June 16 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,New Jersey,Essex,Bloomfield,,,,,,,,,,,,,,
UMSP000359244,,,,1936,6,7,June 7 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,New Jersey,Essex,Bloomfield,,,,,,,,,,,,,,
UMSP000342616,Orr,L.W.,,1928,9,7,"September 7, 1928",Buprestis fasciata,Fabricius,,buprestidae,J.N. Knull,1938,USA,Minnesota,Clearwater,Itasca Park,,,,,,,,,,,,,,
UMSP000359246,Sleever,W.A.,,1936,6,12,June 12 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,New Jersey,Essex,West Caldwell,,,,,,,,,,,,,,
UMSP000359247,Phillips,E.H.,,1936,6,12,June 12 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,New Jersey,Bergen,Radburn,,,,,,,,,,,,,,
UMSP000359248,Harmon,G.,,1936,6,12,June 12 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,New Jersey,Union,Westfield,,,,,,,,,,,,,,
UMSP000359249,Harmon,G.,,1936,6,17,June 17 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,New Jersey,Union,Westfield,,,,Elm,,,,,,,,,,
UMSP000359250,Harmon,G.,,1936,6,17,June 17 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,New Jersey,Union,Westfield,,,,Elm,,,,,,,,,,
UMSP000359251,Harmon,G.,,1936,6,17,June 17 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,New Jersey,Union,Westfield,,,,Elm,,,,,,,,,,
UMSP000359252,Harmon,G.,,1936,6,17,June 17 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,New Jersey,Union,Westfield,,,,Elm,,,,,,,,,,
UMSP000359253,Sleever,W.A.,,1936,6,19,June 19 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,New Jersey,Essex,West Caldwell,,,,Elm,,,,,,,,,,
UMSP000359254,Sleever,W.A.,,1936,6,19,June 19 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,New Jersey,Essex,West Caldwell,,,,Elm,,,,,,,,,,
UMSP000359255,Phillips,E.H.,,1936,6,16,June 16 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,New Jersey,Bergen,Radburn,,,,Elm,,,,,,,,,,
UMSP000359256,Phillips,E.H.,,1936,6,16,June 16 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,New Jersey,Bergen,Radburn,,,,Elm,,,,,,,,,,
UMSP000359257,Sleever,W.A.,,1936,6,12,June 12 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,New Jersey,Essex,West Caldwell,,,,Elm,,,,,,,,,,
UMSP000359258,Sleever,W.A.,,1936,6,12,June 12 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,New Jersey,Essex,West Caldwell,,,,Elm,,,,,,,,,,
UMSP000359259,Sleever,W.A.,,1936,6,12,June 12 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,New Jersey,Essex,West Caldwell,,,,Elm,,,,,,,,,,
UMSP000359260,Sleever,W.A.,,1936,6,12,June 12 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,New Jersey,Essex,West Caldwell,,,,Elm,,,,,,,,,,
UMSP000359261,Sleever,W.A.,,1936,6,12,June 12 1936,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,New Jersey,Essex,West Caldwell,,,,Elm,,,,,,,,,,
UMSP000342650,,,,,6,25,25-VI,Buprestis fasciata,Fabricius,,buprestidae,J.N. Knull,1928,USA,Minnesota,Pine,,,,,,,,,,,,,,,
UMSP000342656,Lugger,O.,,,,,,Buprestis fasciata,Fabricius,,buprestidae,,,USA,Minnesota,Otter Tail,,,,,,,,,,,,,,,
UMSP000342625,Oeatlund,O.W.,,,,,,Buprestis fasciata,Fabricius,,buprestidae,J.N. Knull,1938,USA,Minnesota,St. Louis,Lake Superior,,,,,,,,,,,,,,
UMSP000342687,,,,1939,6,3,June 3 1939,Buprestis maculativentris,Say,,buprestidae,Knull,1943,USA,Minnesota,Mille Lacs,,,,,,,,,,,,,,,
UMSP000342812,,,,1914,6,15,"June 15, 1914",Buprestis maculativentris,Say,,buprestidae,J.N. Knull,1922,USA,Minnesota,Clearwater,Lake Itasca,,,,,,,,,,,,,,
UMSP000342813,,,,1914,6,15,"June 15, 1914",Buprestis maculativentris,Say,,buprestidae,J.N. Knull,1922,USA,Minnesota,Clearwater,Lake Itasca,,,,,,,,,,,,,,
UMSP000342672,Kuschill,B.,,1968,6,17,"June 17, 1968",Buprestis maculativentris,Say,,buprestidae,,,USA,Minnesota,Hennepin,,,,,,,,,,,,,,,
UMSP000342706,Orr,L.W.,,1933,6,20,"June 20, 1933",Buprestis maculativentris,Say,,buprestidae,J.N. Knull,1938,USA,Minnesota,Clearwater,Itasca Park,,,,,,,,,,,,,,
UMSP000342777,Graham,S.A.,,1923,6,20,"June 20, 1923",Buprestis maculativentris,Say,,buprestidae,J.N. Knull,1928,USA,Minnesota,Clearwater,Lake Itasca,,,,,,,,,,,,,,
UMSP000342707,Granovsky,A.A.,,1934,6,24,"June 24, 1934",Buprestis maculativentris,Say,,buprestidae,J.N. Knull,1938,USA,Minnesota,Cass ,Cass Lake,,,,,,,,,,,,,,
UMSP000342680,Orr,J.W.,,1933,6,26,"June 26, 1933",Buprestis maculativentris,Say,,buprestidae,Knull,1938,USA,Minnesota,Clearwater,Itasca Park,,,,,,,,,,,,,,
UMSP000342762,Nagel,R.H.,,1934,6,27,"June 27, 1934",Buprestis maculativentris,Say,,buprestidae,J.N. Knull,1938,USA,Minnesota,Cass,,,,,,,,,,,,,,,
UMSP000342807,Klennols,B.,,1920,6,28,"June 28, 1920",Buprestis maculativentris,Say,,buprestidae,J.N. Knull,1928,USA,Minnesota,Chisago,Rush City,,,,,,,,,,,,,,
,,,,2018,6,28,,Buprestis maculativentris,,,buprestidae,,,USA,Minnesota,Chisago,,,,,,,,,,,,,,,
UMSP000342676,Orr,L.W.,,1933,6,29,"June 29, 1933",Buprestis maculativentris,Say,,buprestidae,J.N. Knull,1938,USA,Minnesota,Clearwater,Itasca Park,,,,,,,,,,,,,,
UMSP000342690,Hodson,A.C.,,1936,6,29,"June 29, 1936",Buprestis maculativentris,Say,,buprestidae,Knull,1943,USA,Minnesota,Clearwater,Itasca Park,,,,,,,,,,,,,,
,,,,2018,6,30,,Buprestis maculativentris,,,buprestidae,,,USA,Minnesota,Chisago,,,,,,,,,,,,,,,
,,,,2018,6,30,,Buprestis maculativentris,,,buprestidae,,,USA,Minnesota,Chisago,,,,,,,,,,,,,,,
,,,,2018,6,30,,Buprestis maculativentris,,,buprestidae,,,USA,Minnesota,Chisago,,,,,,,,,,,,,,,
,,,,2018,6,30,,Buprestis maculativentris,,,buprestidae,,,USA,Minnesota,Chisago,,,,,,,,,,,,,,,
,,,,2018,6,30,,Buprestis maculativentris ,,,buprestidae,,,USA,Minnesota,Chisago,,,,,,,,,,,,,,,
UMSP000342810,,,,1914,6,30,"June 30, 1914",Buprestis maculativentris,Say,,buprestidae,J.N. Knull,1922,USA,Minnesota,Itasca,,,,,Tamarack,on tamarack log,,,,,,,,,
UMSP000357740,Gandhi,K.J.K.,,2003,6,5-25,"June 5, 2003 - June 25, 2003",Buprestis maculativentris,Say,,buprestidae,K.J.K. Gandhi,2005,USA,Minnesota,Cook,Superior National Forest Hy. 12 nr. Seagull Guard Stn,48.629,90.5012,,Pinus banksiana,,Lindgren Funnel Trap. Control trap in Pinus banksiana,,,,,,,,
UMSP000342708,Daggy,R.H.,,1936,7,2,July 2 1936,Buprestis maculativentris,Say,,buprestidae,J.N. Knull,1938,USA,Minnesota,Cass,,,,,,,,,,,,,,,
UMSP000342720,Daggy,R.H.,,1936,7,2,July 2 1936,Buprestis maculativentris,Say,,buprestidae,J.N. Knull,1938,USA,Minnesota,Cass,,,,,,,,,,,,,,,
UMSP000342727,Daggy,R.H.,,1936,7,2,"July 2, 1936",Buprestis maculativentris,Say,,buprestidae,J.N. Knull,1938,USA,Minnesota,Cass,,,,,,,,,,,,,,,
UMSP000342745,Daggy,R.H.,,1936,7,2,"July 2, 1936",Buprestis maculativentris,Say,,buprestidae,J.N. Knull,1938,USA,Minnesota,Cass,,,,,,,,,,,,,,,
UMSP000342735,Orr,L.W.,,1931,7,2,"July 2, 1931",Buprestis maculativentris,Say,,buprestidae,J.N. Knull,1938,USA,Minnesota,Clearwater,Itasca Park,,,,,,,,,,,,,,
UMSP000357743,,,,1976,7,3,"July 3, 1976",Buprestis maculativentris,Say,,buprestidae,,,USA,Minnesota,Isanti,Cedar Creek Natural History Area,,,,,,,,,,,,,,
UMSP000342675,Cutler,B.,Norman T. Baker,1971,7,4,4 July 1971,Buprestis maculativentris,Say,,buprestidae,,,USA,Minnesota,Aitkin,"T45N, R23W, Sec. 17",,,,,,,,,,,,,,
UMSP000342719,,,,1937,7,4,July 4 1937,Buprestis maculativentris,Say,,buprestidae,J.N. Knull,1938,USA,Minnesota,Clearwater,Itasca Park,,,,,,,,,,,,,,
UMSP000342698,Orr,L.W.,,1933,7,5,July 5 1933,Buprestis maculativentris,Say,,buprestidae,J.N. Knull,1938,USA,Minnesota,Beltrami,Bemidji,,,,,,,,,,,,,,
UMSP000359294,Ainslie,C.N.,,1927,6,27,June 27 1927,Chrysobothris femorata,Olivier,,buprestidae,J.N. Knull,1938,USA,Iowa,Woodbury,Sioux City,,,,,,,,,,,,,,
UMSP000342709,Orr,L.W.,,1933,7,5,July 5 1933,Buprestis maculativentris,Say,,buprestidae,J.N. Knull,1938,USA,Minnesota,Beltrami,Bemidji,,,,,,,,,,,,,,
UMSP000342717,Orr,L.W.,,1933,7,5,July 5 1933,Buprestis maculativentris,Say,,buprestidae,J.N. Knull,1938,USA,Minnesota,Beltrami,Bemidji,,,,,,,,,,,,,,
UMSP000342718,Orr,L.W.,,1933,7,5,July 5 1933,Buprestis maculativentris,Say,,buprestidae,J.N. Knull,1938,USA,Minnesota,Beltrami,Bemidji,,,,,,,,,,,,,,
UMSP000342692,Kyetzschmar,G. ,,1941,7,5,"July 5, 1941",Buprestis maculativentris,Say,,buprestidae,Knull,1943,USA,Minnesota,Cook,,,,,,,,,,,,,,,
UMSP000342804,Hoffman,W.H.,,1922,7,6,"July 6, 1922",Buprestis maculativentris,Say,,buprestidae,J.N. Knull,1928,USA,Minnesota,Crow Wing,Nisswa,,,,,,,,,,,,,,
,,,,2018,7,6,,Buprestis maculativentris,,,buprestidae,,,USA,Minnesota,Crow Wing,,,,,,,,,,,,,,,
UMSP000357742,,,,1981,7,8,"July 8, 1981",Buprestis maculativentris,Say,,buprestidae,,,USA,Minnesota,Isanti,Cedar Creek Natural History Area,,,,,,,,,,,,,,
UMSP000357751,Hallinen,M.,,2017,7,8,"July 8, 2017",Buprestis maculativentris,Say,,buprestidae,Marie Hallinen,10 X 2017,USA,Minnesota,Washington,Marine Elementary Ballpark,45.2027,-92.7727,,,C. fumipennis nesting site,,,,,,,,,
UMSP000357752,Hallinen,M.,,2017,7,8,"July 8, 2017",Buprestis maculativentris,Say,,buprestidae,Marie Hallinen,10 X 2017,USA,Minnesota,Washington,Marine Elementary Ballpark,45.2027,-92.7727,,,C. fumipennis nesting site,,,,,,,,,
UMSP000363852,Schultz,J.,,2017,7,10,VII 10 2017,Buprestis maculativentris,Say,,buprestidae,W.P. Steffens,2018,USA,Minnesota,Chisago,"Banta Park, Wyoming",45.30746,-92.992807,,,,adult,,,,,,,,
UMSP000363853,Schultz,J.,,2017,7,10,VII 10 2017,Buprestis maculativentris,Say,,buprestidae,W.P. Steffens,2018,USA,Minnesota,Chisago,"Tolzmann Park, Wyoming",45.347216,-92.993668,,,,adult,,,,,,,,
UMSP000342792,,,,1914,7,10,"July 10, 1914",Buprestis maculativentris,Say,,buprestidae,J.N. Knull,1928,USA,Minnesota,Itasca,,,,,,,,,,,,,,,
UMSP000357750,Hallinen,M.,,2017,7,11,"July 11, 2017",Buprestis maculativentris,Say,,buprestidae,Marie Hallinen,10 X 2017,USA,Minnesota,Chisago,Taylor Falls Elementary,45.406507,-92.65621,,,C. fumipennis nesting site,,,,,,,,,
,,,,2018,7,11,,Buprestis maculativentris,,,buprestidae,,,USA,Minnesota,Chisago,,,,,,,,,,,,,,,
,,,,2018,7,11,,Buprestis maculativentris,,,buprestidae,,,USA,Minnesota,Ramsey,,,,,,,,,,,,,,,
UMSP000342724,Daggy,R.H.,,1936,7,12,"July 12, 1936",Buprestis maculativentris,Say,,buprestidae,J.N. Knull,1938,USA,Minnesota,Cass,,,,,,,,,,,,,,,
UMSP000342730,Daggy,R.H.,,1936,7,12,"July 12, 1936",Buprestis maculativentris,Say,,buprestidae,J.N. Knull,1938,USA,Minnesota,Cass,,,,,,,,,,,,,,,
UMSP000342740,Daggy,R.H.,,1936,7,12,"July 12, 1936",Buprestis maculativentris,Say,,buprestidae,J.N. Knull,1938,USA,Minnesota,Cass,,,,,,,,,,,,,,,
UMSP000342686,,,,1937,7,13,"July 13, 1937",Buprestis maculativentris,Say,,buprestidae,Knull,1943,USA,Minnesota,Koochiching,International Falls,,,,on spruce,,,,,,,,,,
,,,,2018,7,13,,Buprestis maculativentris,,,buprestidae,,,USA,Minnesota,Ramsey,,,,,,,,,,,,,,,
UMSP000342802,,,,1914,7,14,"July 14, 1914",Buprestis maculativentris,Say,,buprestidae,J.N. Knull,1928,USA,Minnesota,Clearwater,Itasca Park,,,,,,,,,,,,,,
